iteration,rot_roll_deg,rot_pitch_deg,rot_yaw_deg,trans_x,trans_y,trans_z,time_lag,urdf_xyz_x,urdf_xyz_y,urdf_xyz_z,urdf_rpy_r,urdf_rpy_p,urdf_rpy_y
1,-2.231734,-0.664747,94.253573,-0.088373,0.933067,1.442610,-0.05006400,-0.953722,0.036723,-1.431298,-0.014455,0.037982,-1.644963
2,-15.159638,7.911678,93.513115,-0.157789,1.030101,-0.001088,-0.05006400,-1.028095,-0.054138,-0.161542,0.121372,0.272485,-1.633733
3,-0.715264,0.303533,95.334195,-0.096123,0.823029,0.663086,-0.05006400,-0.824874,-0.010963,-0.667654,0.004115,0.012921,-1.663780
4,1.789762,-0.113337,95.320704,-0.069778,0.922561,1.171171,-0.05006400,-0.927373,-0.020567,-1.169267,0.000924,-0.031284,-1.663583
5,1.117546,0.615650,95.188178,-0.213425,1.190855,1.614177,-0.05006400,-1.187850,-0.136723,-1.624676,0.012462,-0.018453,-1.661235
6,-0.644337,-0.429663,96.829602,-0.391319,1.267836,1.885657,-0.05006400,-1.319448,-0.216830,-1.878373,-0.008781,0.010275,-1.689874
7,-0.973782,-0.309366,97.333812,-0.345206,1.378682,1.881780,-0.05006400,-1.421587,-0.134698,-1.876692,-0.007522,0.016167,-1.698685
8,-2.234778,1.399351,94.564054,0.116948,1.576053,2.164612,-0.05006400,-1.508456,0.327479,-2.191001,0.021245,0.040818,-1.650375
9,0.407140,1.140893,95.193322,0.146161,1.563643,2.241513,-0.05006400,-1.499096,0.270758,-2.273791,0.020472,-0.005277,-1.661298
10,-0.268081,3.501031,98.812658,-0.175925,1.996324,2.755294,-0.05006400,-1.827751,0.145179,-2.871612,0.059667,0.013971,-1.724205
11,2.823008,-0.862060,96.270763,-0.748961,1.327644,2.747659,-0.05006400,-1.442611,-0.733172,-2.693426,-0.009575,-0.050614,-1.680246
12,-1.057948,-0.646851,97.184395,-0.407488,1.270253,2.448329,-0.05006400,-1.338766,-0.200624,-2.437491,-0.013507,0.016908,-1.696073
13,-0.325354,-0.288433,96.905109,-0.387285,1.033218,2.166580,-0.05006400,-1.083145,-0.248115,-2.162599,-0.005679,0.005032,-1.691189
14,-0.666005,-0.357484,96.587044,-0.281313,1.113979,1.968470,-0.05006400,-1.151135,-0.129004,-1.962959,-0.007530,0.010832,-1.685642
15,-0.483301,5.676774,93.720598,0.287547,1.531903,2.568224,-0.05006400,-1.248636,0.408967,-2.701636,0.098321,0.014824,-1.635301
16,-0.764928,0.399151,94.677034,0.135570,1.487994,2.440292,-0.05006400,-1.454982,0.288958,-2.446847,0.005856,0.013872,-1.652310
17,-1.708622,2.070785,98.542436,-0.216456,2.318319,2.859438,-0.05006400,-2.219935,0.217661,-2.936385,0.031315,0.034851,-1.719756
18,-1.948672,-0.741314,96.097442,0.052909,1.814675,2.566539,-0.05006400,-1.831872,0.331468,-2.533247,-0.016473,0.032444,-1.677140
19,4.004199,8.507652,100.707980,-0.263591,1.509770,3.297570,-0.05006400,-1.027787,-0.222278,-3.480963,0.158769,-0.041222,-1.755637
20,-0.522732,-0.055060,95.665760,-0.172524,1.020971,2.861723,-0.05006400,-1.035756,-0.044912,-2.861258,-0.001856,0.008984,-1.669563
21,-1.304943,-1.388489,97.139014,-0.378770,1.325900,2.420713,-0.05006400,-1.420920,-0.156814,-2.391176,-0.026871,0.019590,-1.695258
22,-0.926151,-0.503895,97.602070,-0.437247,1.264040,2.139148,-0.05006400,-1.329501,-0.231925,-2.131566,-0.010853,0.014859,-1.703362
23,-0.678873,0.032318,96.429248,-0.292861,1.058598,1.905408,-0.05006400,-1.083638,-0.150023,-1.907931,-0.000765,0.011836,-1.682892
24,-1.159465,0.819918,95.889158,-0.183086,1.152181,1.890445,-0.05006400,-1.137709,-0.025447,-1.907825,0.012160,0.021595,-1.673472
25,-2.252967,-0.222202,94.813220,-0.199168,0.945695,1.917867,-0.05006400,-0.966488,-0.043897,-1.917341,-0.007160,0.038856,-1.654744
26,0.081628,0.726890,95.766343,-0.253076,0.806402,1.931698,-0.05006400,-0.803157,-0.173643,-1.941797,0.012765,-0.000144,-1.671307
27,3.803308,-0.462496,94.895040,-0.129866,0.807566,2.320195,-0.05006400,-0.834395,-0.213897,-2.304423,-0.002378,-0.066821,-1.656297
28,-0.647461,-0.431945,94.509397,0.005581,0.920943,2.246480,-0.05006400,-0.934571,0.103159,-2.238476,-0.008402,0.010673,-1.649381
29,-0.213466,1.613541,95.155827,-0.081828,0.886400,2.125739,-0.05006400,-0.829962,0.006060,-2.149952,0.027712,0.006237,-1.660626
30,1.332553,4.547802,95.832395,-0.070118,0.997465,2.409541,-0.05006400,-0.805245,-0.026223,-2.481257,0.081313,-0.015089,-1.672158
31,-0.519326,-0.575771,95.261203,-0.127837,1.006557,2.248131,-0.05006400,-1.036573,-0.014842,-2.238054,-0.010836,0.008105,-1.662498
32,1.909579,0.482237,95.432483,-0.138885,1.070816,2.291027,-0.05006400,-1.059831,-0.113632,-2.297517,0.011530,-0.032381,-1.665535
